asset_id,runtime_path,runtime_sha256,base_object,base_source_member,base_alias_count,manifest_source,manifest_license_status,manifest_source_status,runtime_key,declared_consumer,declared_consumer_resolution,consumer_binding_kind,consumer_evidence,promotion_id,promotion_validation_evidence,runtime_alias_group,runtime_alias_decision,crosswalk_decision,decision_note
item.equipment.goggles,Godot/GraytailGodot/assets/items/equipment/item_equipment_goggles.png,24462587E2902253A8383BE61EDFA1EC3118A0FE4F1610840FD165309B80A335,sources/base/美术素材/blobs/24/24462587e2902253a8383be61edfa1ec3118a0fe4f1610840fd165309b80a335.png,sources/draw/20_processed/item_equipment/item_equipment_goggles.png,5,Base Art/05_export_runtime_candidates/art07_first_batch/item_equipment/item_equipment_goggles.png,internal_staged,staged_pending_review,art08.item.equipment.goggles,,,dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:65[asset_id=item.equipment.goggles],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
item.recovered.ore,Godot/GraytailGodot/assets/items/recovered/item_recovered_ore.png,78860D8DC692B4D2A4F6B1F985AF885F34B478B315B121C849EA5BDACD85D574,sources/base/美术素材/blobs/78/78860d8dc692b4d2a4f6b1f985af885f34b478b315b121c849ea5bdacd85d574.png,sources/draw/20_processed/item_recovered/item_recovered_ore.png,4,Base Art/05_export_runtime_candidates/art07_first_batch/item_recovered/item_recovered_ore.png,internal_staged,staged_pending_review,art08.item.recovered.ore,,,dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:66[asset_id=item.recovered.ore],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
sprite.player.default,Godot/GraytailGodot/assets/player/player_idle_down.png,8A0DAB0B5AD1D14DEE1E76F7B3E1495658946C6947E640717D8681412E9D9AA0,sources/base/美术素材/blobs/8a/8a0dab0b5ad1d14dee1e76f7b3e1495658946c6947e640717d8681412e9d9aa0.png,sources/draw/processed/Huanxionggai/00_front_idle.png,1,assets/Textures/player_idle_down.png,internal_migrated,audited_internal,player.idle,scenes/player/player.tscn,scenes/player/player.tscn=>Godot/GraytailGodot/scenes/player/player.tscn[production],direct_token,Godot/GraytailGodot/scripts/presentation/g10_art_smoke_registry.gd:33[asset_id=sprite.player.default],,,,,existing_stage_evidence_backfilled,Existing audited runtime lineage is cross-referenced; Base remains source-only.
sprite.player.idle.left,Godot/GraytailGodot/assets/player/player_idle_left.png,C71E7D5CB3495E2BCDE292509F1A47060C786A58C0F3AF15EE98665545FA32CA,sources/base/美术素材/blobs/c7/c71e7d5cb3495e2bcde292509f1a47060c786a58c0f3af15ee98665545fa32ca.png,sources/draw/processed/Huanxionggai/02_left_idle.png,1,assets/Textures/player_idle_left.png,internal_migrated,audited_internal,player.idle,scenes/player/player.tscn,scenes/player/player.tscn=>Godot/GraytailGodot/scenes/player/player.tscn[production],no_production_consumer,no_production_consumer_proven,,,,,existing_stage_evidence_backfilled,Existing audited runtime lineage is cross-referenced; Base remains source-only.
sprite.player.idle.right,Godot/GraytailGodot/assets/player/player_idle_right.png,23C2277CB4E1F0A6D2987D77CA2C0D5552BF285532F86D371625F9AE5F827384,sources/base/美术素材/blobs/23/23c2277cb4e1f0a6d2987d77ca2c0d5552bf285532f86d371625f9ae5f827384.png,sources/draw/processed/Huanxionggai/03_right_idle.png,1,assets/Textures/player_idle_right.png,internal_migrated,audited_internal,player.idle,scenes/player/player.tscn,scenes/player/player.tscn=>Godot/GraytailGodot/scenes/player/player.tscn[production],no_production_consumer,no_production_consumer_proven,,,,,existing_stage_evidence_backfilled,Existing audited runtime lineage is cross-referenced; Base remains source-only.
sprite.player.idle.up,Godot/GraytailGodot/assets/player/player_idle_up.png,8246531B7C39A622B0F5B24AC62CBC51BAFBF3842E26073F1FDEB1E04E0518F8,sources/base/美术素材/blobs/82/8246531b7c39a622b0f5b24ac62cbc51bafbf3842e26073f1fdeb1e04e0518f8.png,sources/draw/processed/Huanxionggai/01_back_idle.png,1,assets/Textures/player_idle_up.png,internal_migrated,audited_internal,player.idle,scenes/player/player.tscn,scenes/player/player.tscn=>Godot/GraytailGodot/scenes/player/player.tscn[production],no_production_consumer,no_production_consumer_proven,,,,,existing_stage_evidence_backfilled,Existing audited runtime lineage is cross-referenced; Base remains source-only.
prop.art07.00_baoxiang_kai,Godot/GraytailGodot/assets/props/art07/00_baoxiang_kai.png,3A4D3445312B5611B7F9FA9066FBE7FB666C48A074579BE7D303003CC9C0180A,sources/base/美术素材/blobs/3a/3a4d3445312b5611b7f9fa9066fbe7fb666c48a074579be7d303003cc9c0180a.png,sources/draw/30_game_ready/props/00_baoxiang_kai.png,3,sources.zip!/sources/draw/30_game_ready/props/00_baoxiang_kai.png,internal_staged,i3_source_pack_revalidated,visual.art24.prop.chest_open_state,scripts/gameplay/interactables/g41_chest_interactable.gd,scripts/gameplay/interactables/g41_chest_interactable.gd=>Godot/GraytailGodot/scripts/gameplay/interactables/g41_chest_interactable.gd[production],direct_token,Godot/GraytailGodot/scripts/gameplay/interactables/g41_chest_interactable.gd:123[runtime_key=visual.art24.prop.chest_open_state],I3-ASSET-001,tools/i1/validation_manifest.json:951;Godot/GraytailGodot/tests/i2_world_interaction_runtime_runner.gd:375,,,approved_by_explicit_promotion_gate,"Explicit promotion row binds source, bytes, runtime key, consumer, and rollback."
prop.art07.01_cheli_zhuangzhi_an,Godot/GraytailGodot/assets/props/art07/01_cheli_zhuangzhi_an.png,FCE7959AE7A20F51707DC29AA16BD35448C26B1E11BE16A4B966E90B2E018F2A,sources/base/美术素材/blobs/fc/fce7959ae7a20f51707dc29aa16bd35448c26b1e11be16a4b966e90b2e018f2a.png,sources/draw/30_game_ready/props/01_cheli_zhuangzhi_an.png,3,Base Art/05_export_runtime_candidates/art07_first_batch/props/01_cheli_zhuangzhi_an.png,internal_staged,staged_pending_review,art08.prop.01_cheli_zhuangzhi_an,,,dynamic_contract,Godot/GraytailGodot/scripts/gameplay/interactables/g41_chest_interactable.gd:125->Godot/GraytailGodot/scripts/presentation/art24/art24_in_run_asset_contract.gd:22[godot_path=res://assets/props/art07/01_cheli_zhuangzhi_an.png],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
prop.art07.02_cheli_zhuangzhi_liang,Godot/GraytailGodot/assets/props/art07/02_cheli_zhuangzhi_liang.png,50B4239F76BF654686972C1D6D238F8481B29F7EAA6E0A99E3EBF1E1949146B2,sources/base/美术素材/blobs/50/50b4239f76bf654686972c1d6d238f8481b29f7eaa6e0a99e3ebf1e1949146b2.png,sources/draw/30_game_ready/props/02_cheli_zhuangzhi_liang.png,3,Base Art/05_export_runtime_candidates/art07_first_batch/props/02_cheli_zhuangzhi_liang.png,internal_staged,staged_pending_review,art08.prop.02_cheli_zhuangzhi_liang,,,dynamic_contract,Godot/GraytailGodot/scripts/gameplay/interactables/g41_chest_interactable.gd:125->Godot/GraytailGodot/scripts/presentation/art24/art24_in_run_asset_contract.gd:23[godot_path=res://assets/props/art07/02_cheli_zhuangzhi_liang.png],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
prop.art07.04_shangren_tai,Godot/GraytailGodot/assets/props/art07/04_shangren_tai.png,56C00AFD49CA374A53C9DC81A7E81883BD97CB0A995747C0108FD45D9B86C07F,sources/base/美术素材/blobs/56/56c00afd49ca374a53c9dc81a7e81883bd97cb0a995747c0108fd45d9b86c07f.png,sources/draw/30_game_ready/props/04_shangren_tai.png,3,Base Art/05_export_runtime_candidates/art07_first_batch/props/04_shangren_tai.png,internal_staged,staged_pending_review,art08.prop.04_shangren_tai,,,dynamic_contract,Godot/GraytailGodot/scripts/gameplay/interactables/g41_chest_interactable.gd:125->Godot/GraytailGodot/scripts/presentation/art24/art24_in_run_asset_contract.gd:21[godot_path=res://assets/props/art07/04_shangren_tai.png],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
prop.art07.05_yichang_hexin,Godot/GraytailGodot/assets/props/art07/05_yichang_hexin.png,1AF589B83403E204126CA1F7402158ACC183FB47CEC733B5FE75285505092908,sources/base/美术素材/blobs/1a/1af589b83403e204126ca1f7402158acc183fb47cec733b5fe75285505092908.png,sources/draw/30_game_ready/props/05_yichang_hexin.png,3,Base Art/05_export_runtime_candidates/art07_first_batch/props/05_yichang_hexin.png,internal_staged,staged_pending_review,art08.prop.05_yichang_hexin,,,dynamic_contract,Godot/GraytailGodot/scripts/gameplay/interactables/g41_chest_interactable.gd:125->Godot/GraytailGodot/scripts/presentation/art24/art24_in_run_asset_contract.gd:20[godot_path=res://assets/props/art07/05_yichang_hexin.png],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
prop.art07.07_lingjian_dui,Godot/GraytailGodot/assets/props/art07/07_lingjian_dui.png,609C73CDDC5300809CF78E8E341DF5F077916CC8983BC0847FBFC9006AB9B6A6,sources/base/美术素材/blobs/60/609c73cddc5300809cf78e8e341df5f077916cc8983bc0847fbfc9006ab9b6a6.png,sources/draw/30_game_ready/props/07_lingjian_dui.png,3,Base Art/05_export_runtime_candidates/art07_first_batch/props/07_lingjian_dui.png,internal_staged,staged_pending_review,art08.prop.07_lingjian_dui,,,staging_no_consumer,no_production_consumer_proven,,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
prop.art07.08_saomiaoyi,Godot/GraytailGodot/assets/props/art07/08_saomiaoyi.png,CFA8A370608EFB8C9BCCB747F143D06C45ECF19BC67AFB5A76E2F303047F3810,sources/base/美术素材/blobs/cf/cfa8a370608efb8c9bccb747f143d06c45ecf19bc67afb5a76e2f303047f3810.png,sources/draw/30_game_ready/props/08_saomiaoyi.png,3,Base Art/05_export_runtime_candidates/art07_first_batch/props/08_saomiaoyi.png,internal_staged,staged_pending_review,art08.prop.08_saomiaoyi,,,staging_no_consumer,no_production_consumer_proven,,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
prop.art07.10_yiliaobao,Godot/GraytailGodot/assets/props/art07/10_yiliaobao.png,7CF0D291EAA59A94FCA3B321443B98D281FBDB33A1302C8B75E3AD0606F08D63,sources/base/美术素材/blobs/7c/7cf0d291eaa59a94fca3b321443b98d281fbdb33a1302c8b75e3ad0606f08d63.png,sources/draw/30_game_ready/props/10_yiliaobao.png,3,Base Art/05_export_runtime_candidates/art07_first_batch/props/10_yiliaobao.png,internal_staged,staged_pending_review,art08.prop.10_yiliaobao,,,staging_no_consumer,no_production_consumer_proven,,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
prop.art07.11_wuzi_xiang,Godot/GraytailGodot/assets/props/art07/11_wuzi_xiang.png,6D2CF9DC683B69DF9CB9F428A764CB47F966987DFF426C27F8E8AAD72886BDDC,sources/base/美术素材/blobs/6d/6d2cf9dc683b69df9cb9f428a764cb47f966987dff426c27f8e8aad72886bddc.png,sources/draw/30_game_ready/props/11_wuzi_xiang.png,3,Base Art/05_export_runtime_candidates/art07_first_batch/props/11_wuzi_xiang.png,internal_staged,staged_pending_review,art08.prop.11_wuzi_xiang,,,staging_no_consumer,no_production_consumer_proven,,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
prop.chest.closed,Godot/GraytailGodot/assets/props/chest_closed.png,541F72BFA7337FF4B8B23819C5A0188CB59881DAC1FA78307A532DBE66A0DDEE,sources/base/美术素材/blobs/54/541f72bfa7337ff4b8b23819c5a0188cb59881dac1fa78307a532dbe66a0ddee.png,sources/draw/30_game_ready/props/03_baoxiang_guan.png,3,assets/Textures/generated/props/03_baoxiang_guan.png,internal_migrated,audited_internal,prop.chest,scenes/room/room_scene.tscn,scenes/room/room_scene.tscn=>Godot/GraytailGodot/scenes/room/room_scene.tscn[production],direct_token,Godot/GraytailGodot/scripts/gameplay/interactables/g41_chest_interactable.gd:123[runtime_key=prop.chest],,,,,existing_stage_evidence_backfilled,Existing audited runtime lineage is cross-referenced; Base remains source-only.
prop.gold.pile,Godot/GraytailGodot/assets/props/gold_pile.png,57645A3955E0C3478C7135ADBE1D69209A0FF854F2C213B9B91485D1C2782E16,sources/base/美术素材/blobs/57/57645a3955e0c3478c7135adbe1d69209a0ff854f2c213b9b91485d1c2782e16.png,sources/draw/30_game_ready/props/09_jinbi_dui.png,3,assets/Textures/generated/props/09_jinbi_dui.png,internal_migrated,audited_internal,prop.gold,scenes/room/room_scene.tscn,scenes/room/room_scene.tscn=>Godot/GraytailGodot/scenes/room/room_scene.tscn[production],no_production_consumer,no_production_consumer_proven,,,,,existing_stage_evidence_backfilled,Existing audited runtime lineage is cross-referenced; Base remains source-only.
prop.mine.trap,Godot/GraytailGodot/assets/props/mine_trap.png,F2866600D71DE3658A955CD45002893F48087ECC23D5F4B970419C270D6E6DA5,sources/base/美术素材/blobs/f2/f2866600d71de3658a955cd45002893f48087ecc23d5f4b970419c270d6e6da5.png,sources/draw/30_game_ready/props/06_dici_xianjing.png,3,assets/Textures/generated/props/06_dici_xianjing.png,internal_migrated,audited_internal,prop.mine,scenes/room/room_scene.tscn,scenes/room/room_scene.tscn=>Godot/GraytailGodot/scenes/room/room_scene.tscn[production],direct_token,Godot/GraytailGodot/scripts/gameplay/runtime/g41_room_runtime_view.gd:23[godot_path=res://assets/props/mine_trap.png],,,,,existing_stage_evidence_backfilled,Existing audited runtime lineage is cross-referenced; Base remains source-only.
ui.art19.scrollbar.vertical,Godot/GraytailGodot/assets/ui/art19/bars/scrollbar_vertical.png,6F4CEBABB51384A31E306D57475A6AD1EE2E5F02179844C55B66C4798A9A7906,sources/base/美术素材/blobs/6f/6f4cebabb51384a31e306d57475a6ad1ee2e5f02179844c55b66c4798a9a7906.png,sources/draw/20_processed/ui_scrollbar/ui_scrollbar_vertical.png,2,sources/draw/30_game_ready/ui_scrollbar/ui_scrollbar_vertical.png,internal_staged,staged_pending_review,art19.scrollbar.vertical,scripts/ui/deploy_prep/deploy_prep_shell.gd,scripts/ui/deploy_prep/deploy_prep_shell.gd=>Godot/GraytailGodot/scripts/ui/deploy_prep/deploy_prep_shell.gd[production],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:101[asset_id=ui.art19.scrollbar.vertical],,,,,visual_reviewed_existing_runtime,Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion.
ui.art19.bar.summary_dark,Godot/GraytailGodot/assets/ui/art19/bars/summary_bar_dark.png,DDE95EBD216C273230DE0E2776F445AE97D38B4C370FC2C4765AC24CFC468558,sources/base/美术素材/blobs/dd/dde95ebd216c273230de0e2776f445ae97d38b4c370fc2c4765ac24cfc468558.png,sources/draw/20_processed/ui_summary_bar/ui_bar_blank_dark.png,7,sources/draw/30_game_ready/ui_summary_bar/ui_bar_blank_dark.png,internal_staged,staged_pending_review,art19.bar.summary,scripts/ui/run_surface/run_surface.gd,scripts/ui/run_surface/run_surface.gd=>Godot/GraytailGodot/scripts/ui/run_surface/run_surface.gd[production],direct_token,Godot/GraytailGodot/scripts/ui/run_surface/run_surface.gd:187[asset_id=ui.art19.bar.summary_dark],,,,,visual_reviewed_existing_runtime,Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion.
ui.art19.button.dark,Godot/GraytailGodot/assets/ui/art19/buttons/button_blank_dark.png,99DCED078AC8D2DBE127689D8005715F2878185B14884355BCBC4F471FD06A1C,sources/base/美术素材/blobs/99/99dced078ac8d2dbe127689d8005715f2878185b14884355bcbc4f471fd06a1c.png,sources/draw/20_processed/ui_button_blank/ui_button_blank_dark.png,7,sources/draw/30_game_ready/ui_button_blank/ui_button_blank_dark.png,internal_staged,staged_pending_review,art19.button.dark,scripts/presentation/art10_ui_skin_kit.gd; scripts/ui/main_menu/main_menu_shell.gd; scripts/ui/long_term/long_term_shell.gd,scripts/presentation/art10_ui_skin_kit.gd=>Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd[production];scripts/ui/main_menu/main_menu_shell.gd=>Godot/GraytailGodot/scripts/ui/main_menu/main_menu_shell.gd[production];scripts/ui/long_term/long_term_shell.gd=>Godot/GraytailGodot/scripts/ui/long_term/long_term_shell.gd[production],direct_token,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:529[asset_id=ui.art19.button.dark],,,,,visual_reviewed_existing_runtime,Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion.
ui.art19.button.confirm,Godot/GraytailGodot/assets/ui/art19/buttons/button_confirm_deploy_large.png,E245F3D25671EAB9C11A437933FB7C8A8D79F5F2129962273AEDBB6A3E2D7873,sources/base/美术素材/blobs/e2/e245f3d25671eab9c11a437933fb7c8a8d79f5f2129962273aedbb6a3e2d7873.png,sources/draw/20_processed/ui_deploy_button/ui_button_confirm_deploy_large.png,8,sources/draw/30_game_ready/ui_deploy_button/ui_button_confirm_deploy_large.png,internal_staged,staged_pending_review,art19.button.confirm,scripts/ui/deploy_prep/deploy_prep_shell.gd,scripts/ui/deploy_prep/deploy_prep_shell.gd=>Godot/GraytailGodot/scripts/ui/deploy_prep/deploy_prep_shell.gd[production],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:98[asset_id=ui.art19.button.confirm],,,,,visual_reviewed_restricted_baked_text,Baked player-facing text cannot inherit the pixel-font theme or localization; retain as lineage/reference and do not use for live-label production UI.
