"staging_id","source_path","source_relative_path","staged_path","staged_relative_path","source_sha256","staged_sha256","source_bytes","intended_component","source_status","allowed_next_action","reason","admission_status","copy_status"
"art20_stage_017","D:\AGAME1\sources\draw\30_game_ready\ui_deploy_panel\ui_frame_highlight.png","sources/draw/30_game_ready/ui_deploy_panel/ui_frame_highlight.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_deploy_panel\ui_frame_highlight.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_panel/ui_frame_highlight.png","6A7B4D2BBC7A87236B11F52BEAA8568477428D86A288D987949EC11F1B5DD95D","6A7B4D2BBC7A87236B11F52BEAA8568477428D86A288D987949EC11F1B5DD95D","19642","deploy_route_card_states|longterm_collection_card_states|shared_slot_frame_states","confirmed_existing|confirmed_existing_set","cut_9slice_then_import|cut_card_set_then_import|cut_state_set_then_import","强化出发探索中区路线卡 / 支撑 deploy/inventory/longterm slot 和 card / 支撑长期系统中区收藏墙","admitted_p0_confirmed_source","copied"
"art20_stage_018","D:\AGAME1\sources\draw\30_game_ready\ui_deploy_panel\ui_panel_deploy_main_blank.png","sources/draw/30_game_ready/ui_deploy_panel/ui_panel_deploy_main_blank.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_deploy_panel\ui_panel_deploy_main_blank.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_panel/ui_panel_deploy_main_blank.png","222F475C981FA20063686E3BA1C203A46E04B9B2DBE6C6CDD1C4B5827E9EF525","222F475C981FA20063686E3BA1C203A46E04B9B2DBE6C6CDD1C4B5827E9EF525","127236","deploy_route_card_states","confirmed_existing_set","cut_9slice_then_import","强化出发探索中区路线卡","admitted_p0_confirmed_source","copied"
"art20_stage_019","D:\AGAME1\sources\draw\30_game_ready\ui_deploy_panel\ui_panel_deploy_summary_blank.png","sources/draw/30_game_ready/ui_deploy_panel/ui_panel_deploy_summary_blank.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_deploy_panel\ui_panel_deploy_summary_blank.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_panel/ui_panel_deploy_summary_blank.png","6893538A28D34001C2FFBF52DE811139936CAD2F24954A0588238A67DAEDFE75","6893538A28D34001C2FFBF52DE811139936CAD2F24954A0588238A67DAEDFE75","18745","longterm_archive_short_modules|run_hud_top_right_status_card|shared_summary_card_set","confirmed_existing|confirmed_existing_set","cut_9slice_then_import","避免 deploy_summary 被跨页面误用 / 支撑 Run HUD 右上遮挡式状态卡 / 支撑长期系统右侧固定档案栏","admitted_p0_confirmed_source","copied"
"art20_stage_020","D:\AGAME1\sources\draw\30_game_ready\ui_key_prompt\ui_key_e.png","sources/draw/30_game_ready/ui_key_prompt/ui_key_e.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_key_prompt\ui_key_e.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_key_prompt/ui_key_e.png","819C31BC1070AC5C9832EEA32605584BC6D835ED952A40371AEC308F2379455A","819C31BC1070AC5C9832EEA32605584BC6D835ED952A40371AEC308F2379455A","3859","shared_keycap_set_e_q_f_m_t_esc","confirmed_existing_set","import_named_set","支撑 Run HUD key bar","admitted_p0_confirmed_source","copied"
"art20_stage_021","D:\AGAME1\sources\draw\30_game_ready\ui_key_prompt\ui_key_esc.png","sources/draw/30_game_ready/ui_key_prompt/ui_key_esc.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_key_prompt\ui_key_esc.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_key_prompt/ui_key_esc.png","9A9A580FE1A1FB7268A905FA1E04B12576048D1D963CBB02F097E41B821E4EAB","9A9A580FE1A1FB7268A905FA1E04B12576048D1D963CBB02F097E41B821E4EAB","4957","shared_keycap_set_e_q_f_m_t_esc","confirmed_existing_set","import_named_set","支撑 Run HUD key bar","admitted_p0_confirmed_source","copied"
"art20_stage_022","D:\AGAME1\sources\draw\30_game_ready\ui_key_prompt\ui_key_f.png","sources/draw/30_game_ready/ui_key_prompt/ui_key_f.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_key_prompt\ui_key_f.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_key_prompt/ui_key_f.png","EC188529DC43CB042E9EAFF489FBDFDD4B300B046B066FC666D2C4878DF98D87","EC188529DC43CB042E9EAFF489FBDFDD4B300B046B066FC666D2C4878DF98D87","3879","shared_keycap_set_e_q_f_m_t_esc","confirmed_existing_set","import_named_set","支撑 Run HUD key bar","admitted_p0_confirmed_source","copied"
"art20_stage_023","D:\AGAME1\sources\draw\30_game_ready\ui_key_prompt\ui_key_m.png","sources/draw/30_game_ready/ui_key_prompt/ui_key_m.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_key_prompt\ui_key_m.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_key_prompt/ui_key_m.png","18E737B8021ED01216132B95494A0CB7D83D71D006CC3C87AA83B103140F1FCD","18E737B8021ED01216132B95494A0CB7D83D71D006CC3C87AA83B103140F1FCD","4223","shared_keycap_set_e_q_f_m_t_esc","confirmed_existing_set","import_named_set","支撑 Run HUD key bar","admitted_p0_confirmed_source","copied"
"art20_stage_024","D:\AGAME1\sources\draw\30_game_ready\ui_key_prompt\ui_key_q.png","sources/draw/30_game_ready/ui_key_prompt/ui_key_q.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_key_prompt\ui_key_q.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_key_prompt/ui_key_q.png","099706289B700AEBAF7B6B679E26B2D7D8414FD624B2C7673378629582A79682","099706289B700AEBAF7B6B679E26B2D7D8414FD624B2C7673378629582A79682","4536","shared_keycap_set_e_q_f_m_t_esc","confirmed_existing_set","import_named_set","支撑 Run HUD key bar","admitted_p0_confirmed_source","copied"
"art20_stage_025","D:\AGAME1\sources\draw\30_game_ready\ui_key_prompt\ui_key_t.png","sources/draw/30_game_ready/ui_key_prompt/ui_key_t.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_key_prompt\ui_key_t.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_key_prompt/ui_key_t.png","49AC601D40A4E14B5F76E5906F573C444C0A6D36EACA013B60B1B74C81DD3D47","49AC601D40A4E14B5F76E5906F573C444C0A6D36EACA013B60B1B74C81DD3D47","3688","shared_keycap_set_e_q_f_m_t_esc","confirmed_existing_set","import_named_set","支撑 Run HUD key bar","admitted_p0_confirmed_source","copied"
"art20_stage_026","D:\AGAME1\sources\draw\30_game_ready\ui_panel\ui_panel_terminal_main.png","sources/draw/30_game_ready/ui_panel/ui_panel_terminal_main.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_panel\ui_panel_terminal_main.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_panel/ui_panel_terminal_main.png","4BB57AC94C797BE82FD9B03B1EB708D87E3FE6CD014AF898A059486DCA6EACBC","4BB57AC94C797BE82FD9B03B1EB708D87E3FE6CD014AF898A059486DCA6EACBC","456147","longterm_collection_card_states|map_overlay_expanded_panel|run_hud_left_rail_frame|shared_large_frame_set","confirmed_existing|confirmed_existing_set","cut_9slice_then_import|cut_card_set_then_import","避免 terminal_main 继续承担过宽职责 / 支撑点击小地图后的展开地图 / 支撑局内左侧固定信息栏 / 支撑长期系统中区收藏墙","admitted_p0_confirmed_source","copied"
"art20_stage_027","D:\AGAME1\sources\draw\30_game_ready\ui_summary_bar\ui_bar_blank_dark.png","sources/draw/30_game_ready/ui_summary_bar/ui_bar_blank_dark.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_summary_bar\ui_bar_blank_dark.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_summary_bar/ui_bar_blank_dark.png","DDE95EBD216C273230DE0E2776F445AE97D38B4C370FC2C4765AC24CFC468558","DDE95EBD216C273230DE0E2776F445AE97D38B4C370FC2C4765AC24CFC468558","28665","longterm_archive_short_modules|run_hud_bottom_info_bar_states|run_hud_left_rail_frame|run_hud_object_tooltip","confirmed_existing|confirmed_existing_set","cut_9slice_then_import","用于局内底部主信息栏 / 支撑局内左侧固定信息栏 / 支撑物品和搜索提示 / 支撑长期系统右侧固定档案栏","admitted_p0_confirmed_source","copied"
